GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade,game_id,qtr_remaining_sec,elapsed_sec,kickoff_dt,kick_dt,game_id_wx,Source,DistanceToStation,TimeMeasure,Temperature,DewPoint,Humidity,Precipitation,WindSpeed,WindDirection,Pressure,EstimatedCondition
2013090800,2013-09-08,1,4,51,NE,BUF,4,11,70,48,"(4:51) 3-S.GOSTKOWSKI 48 YARD FIELD GOAL IS GOOD, CENTER-48-D.AIKEN, HOLDER-6-R.ALLEN.",FIELD GOAL,IS GOOD,3,1,2013090800,291,609,2013-09-08 13:00:00,2013-09-08 13:10:09,2013090800,Meteostat,7.02,2013-09-08 13:00:00,64.94,46.94,52.0,0.0,11.43,20.0,30.0733,Clear
2013090800,2013-09-08,4,10,52,NE,BUF,4,15,85,33,"(10:52) 3-S.GOSTKOWSKI 33 YARD FIELD GOAL IS GOOD, CENTER-48-D.AIKEN, HOLDER-6-R.ALLEN.",FIELD GOAL,IS GOOD,3,1,2013090800,652,2948,2013-09-08 13:00:00,2013-09-08 13:49:08,2013090800,Meteostat,7.02,2013-09-08 14:00:00,64.94,46.94,52.0,0.0,6.96,10.0,30.0733,Clear
2013090800,2013-09-08,4,0,9,NE,BUF,3,13,83,35,"(:09) 3-S.GOSTKOWSKI 35 YARD FIELD GOAL IS GOOD, CENTER-48-D.AIKEN, HOLDER-6-R.ALLEN.",FIELD GOAL,IS GOOD,3,1,2013090800,9,3591,2013-09-08 13:00:00,2013-09-08 13:59:51,2013090800,Meteostat,7.02,2013-09-08 14:00:00,64.94,46.94,52.0,0.0,6.96,10.0,30.0733,Clear
2013090801,2013-09-08,2,9,40,SEA,CAR,4,8,91,27,"(9:40) 4-S.HAUSCHKA 27 YARD FIELD GOAL IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",FIELD GOAL,IS GOOD,3,1,2013090801,580,1220,2013-09-08 13:00:00,2013-09-08 13:20:20,2013090801,Meteostat,8.57,2013-09-08 13:00:00,86.0,60.98,43.0,0.0,8.08,0.0,29.9759,Clear
2013090801,2013-09-08,3,2,26,SEA,CAR,4,15,78,40,"(2:26) 4-S.HAUSCHKA 40 YARD FIELD GOAL IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",FIELD GOAL,IS GOOD,3,1,2013090801,146,2554,2013-09-08 13:00:00,2013-09-08 13:42:34,2013090801,Meteostat,8.57,2013-09-08 14:00:00,84.2,60.62,45.0,0.0,8.08,0.0,29.9641,Clear
2013090802,2013-09-08,2,0,13,CHI,CIN,4,6,60,58,"(:13) (FIELD GOAL FORMATION) 9-R.GOULD 58 YARD FIELD GOAL IS GOOD, CENTER-65-P.MANNELLY, HOLDER-8-A.PODLESH.",FIELD GOAL,IS GOOD,3,1,2013090802,13,1787,2013-09-08 13:00:00,2013-09-08 13:29:47,2013090802,Meteostat,5.41,2013-09-08 13:00:00,75.92,65.84,71.0,0.0,13.86,70.0,29.9966,Clear
2013090803,2013-09-08,1,1,33,MIA,CLE,4,12,73,45,"(1:33) (FIELD GOAL FORMATION) 9-C.STURGIS 45 YARD FIELD GOAL IS GOOD, CENTER-92-J.DENNEY, HOLDER-2-B.FIELDS.",FIELD GOAL,IS GOOD,3,1,2013090803,93,807,2013-09-08 13:00:00,2013-09-08 13:13:27,2013090803,Meteostat,0.68,2013-09-08 13:00:00,73.04,63.86,73.0,0.0,17.21,30.0,30.0349,Clear
2013090803,2013-09-08,2,13,42,MIA,CLE,4,14,69,49,"(13:42) (FIELD GOAL FORMATION) 9-C.STURGIS 49 YARD FIELD GOAL IS GOOD, CENTER-92-J.DENNEY, HOLDER-2-B.FIELDS.",FIELD GOAL,IS GOOD,3,1,2013090803,822,978,2013-09-08 13:00:00,2013-09-08 13:16:18,2013090803,Meteostat,0.68,2013-09-08 13:00:00,73.04,63.86,73.0,0.0,17.21,30.0,30.0349,Clear
2013090803,2013-09-08,3,3,5,CLE,MIA,4,10,79,39,"(3:05) (FIELD GOAL FORMATION) 8-B.CUNDIFF 39 YARD FIELD GOAL IS GOOD, CENTER-57-C.YOUNT, HOLDER-5-S.LANNING.",FIELD GOAL,IS GOOD,3,1,2013090803,185,2515,2013-09-08 13:00:00,2013-09-08 13:41:55,2013090803,Meteostat,0.68,2013-09-08 14:00:00,71.96,60.8,68.0,0.0,18.33,30.0,30.0497,Clear
2013090803,2013-09-08,4,4,2,MIA,CLE,4,3,82,36,"(4:02) (FIELD GOAL FORMATION) 9-C.STURGIS 36 YARD FIELD GOAL IS GOOD, CENTER-92-J.DENNEY, HOLDER-2-B.FIELDS.",FIELD GOAL,IS GOOD,3,1,2013090803,242,3358,2013-09-08 13:00:00,2013-09-08 13:55:58,2013090803,Meteostat,0.68,2013-09-08 14:00:00,71.96,60.8,68.0,0.0,18.33,30.0,30.0497,Clear
