GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade
2013122913,2013-12-29,2,12,42,DEN,LV,4,10,84,34,"(12:42) 5-M.PRATER 34 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-4-B.COLQUITT.",FIELD GOAL,IS GOOD,3,1
2013122213,2013-12-22,4,6,28,SD,LV,4,4,85,33,"(6:28) 9-N.NOVAK 33 YARD FIELD GOAL IS GOOD, CENTER-47-M.WINDT, HOLDER-5-M.SCIFRES.",FIELD GOAL,IS GOOD,3,1
2013122213,2013-12-22,4,14,55,SD,LV,4,7,90,28,"(14:55) 9-N.NOVAK 28 YARD FIELD GOAL IS GOOD, CENTER-47-M.WINDT, HOLDER-5-M.SCIFRES.",FIELD GOAL,IS GOOD,3,1
2013122213,2013-12-22,3,1,0,SD,LV,4,3,70,48,"(1:00) 9-N.NOVAK 48 YARD FIELD GOAL IS GOOD, CENTER-47-M.WINDT, HOLDER-5-M.SCIFRES.",FIELD GOAL,IS GOOD,3,1
2013122213,2013-12-22,1,2,45,SD,LV,4,8,91,27,"(2:45) 9-N.NOVAK 27 YARD FIELD GOAL IS GOOD, CENTER-47-M.WINDT, HOLDER-5-M.SCIFRES.",FIELD GOAL,IS GOOD,3,1
2013111703,2013-11-17,2,0,45,HOU,LV,4,5,67,51,"(:45) 4-R.BULLOCK 51 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-9-S.LECHLER.",FIELD GOAL,IS GOOD,3,1
2013111005,2013-11-10,4,8,8,NYG,LV,4,5,95,23,"(8:08) 3-J.BROWN 23 YARD FIELD GOAL IS GOOD, CENTER-51-Z.DEOSSIE, HOLDER-5-S.WEATHERFORD.",FIELD GOAL,IS GOOD,3,1
2013091512,2013-09-15,2,7,50,JAX,LV,4,9,91,27,"(7:50) 10-J.SCOBEE 27 YARD FIELD GOAL IS GOOD, CENTER-46-C.TINKER, HOLDER-19-B.ANGER.",FIELD GOAL,IS GOOD,3,1
2013122913,2013-12-29,4,6,41,DEN,LV,4,8,64,54,"(6:41) 5-M.PRATER 54 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-4-B.COLQUITT.",FIELD GOAL,IS GOOD,3,1
2013100610,2013-10-06,3,4,56,SD,LV,4,12,84,35,"(4:56) 9-N.NOVAK 35 YARD FIELD GOAL IS GOOD, CENTER-47-M.WINDT, HOLDER-5-M.SCIFRES.",FIELD GOAL,IS GOOD,3,1
