player,player_id
Adrian Lewis,1
Alan Norris,2
Andy Boulton,3
Benito van de Pas,4
Brendan Dolan,5
Chris Dobey,6
Chris Quantock,7
Christian Kist,8
Corey Cadby,9
Cristo Reyes,10
Darren Webster,11
Daryl Gurney,12
Dave Chisnall,13
Devon Petersen,14
Dimitri Van den Bergh,15
Dirk van Duijvenbode,16
Gary Anderson,17
Gerwyn Price,18
Glen Durrant,19
Ian White,20
James Richardson,21
James Wade,22
James Wilson,23
Jamie Bain,24
Jamie Caven,25
Jamie Lewis,26
Jan Dekker,27
Jeffrey de Zwaan,28
Jelle Klaasen,29
Jermaine Wattimena,30
Joe Cullen,31
Joe Murnan,32
John Henderson,33
Jonny Clayton,34
Justin Pipe,35
Keegan Brown,36
Kevin Munch,37
Kim Huybrechts,38
Kim Viljanen,39
Krzysztof Ratajski,40
Kyle Anderson,41
Mark Webster,42
Martin Schindler,43
Max Hopp,44
Mensur Suljovic,45
Mervyn King,46
Michael Smith,47
Michael van Gerwen,48
Mike De Decker,49
Nathan Aspinall,50
Paul Lim,51
Peter Jacques,52
Peter Wright,53
Phil Taylor,54
Raymond van Barneveld,55
Rene Eidams,56
Richard North,57
Rob Cross,58
Robbie Green,59
Robert Owen,60
Robert Thornton,61
Ron Meulenkamp,62
Ronny Huybrechts,63
Simon Whitlock,64
Stephen Bunting,65
Steve Beaton,66
Steve Lennon,67
Steve West,68
Toni Alcinas,69
Vincent van der Voort,70
Willard Bruguier,71
William O'Connor,72
Zoran Lerchbacher,73
