name,TSID,turn_in_leg,pbt_start,n_throws,triple_seq,n_success,wonprevious
Adrian Lewis,1,1,501,3,0 1 0,1,0
Adrian Lewis,1,2,402,3,0 0 0,0,0
Adrian Lewis,1,3,344,3,0 1 0,1,0
Adrian Lewis,1,4,246,3,0 0 0,0,0
Adrian Lewis,1,5,201,2,0 1,1,0
Adrian Lewis,2,1,501,3,0 1 0,1,0
Adrian Lewis,2,2,424,3,1 0 0,1,0
Adrian Lewis,2,3,337,3,1 1 0,2,0
Adrian Lewis,2,4,197,1,0,0,0
Adrian Lewis,3,1,501,3,0 0 1,1,0
Adrian Lewis,3,2,401,3,0 0 0,0,0
Adrian Lewis,3,3,347,3,1 0 1,2,0
Adrian Lewis,3,4,207,2,0 0,0,0
Adrian Lewis,4,1,501,3,0 0 0,0,0
Adrian Lewis,4,2,442,3,1 1 0,2,0
Adrian Lewis,4,3,321,3,1 0 1,2,0
Adrian Lewis,4,4,184,1,0,0,0
Adrian Lewis,5,1,501,3,0 0 1,1,0
Adrian Lewis,5,2,418,3,0 1 1,2,0
Adrian Lewis,5,3,284,3,1 0 0,1,0
Adrian Lewis,5,4,184,1,0,0,0
Adrian Lewis,6,1,501,3,1 1 0,2,0
Adrian Lewis,6,2,380,3,0 1 1,2,0
Adrian Lewis,6,3,255,2,0 1,1,0
Adrian Lewis,7,1,501,3,0 0 0,0,0
Adrian Lewis,7,2,460,3,0 0 0,0,0
Adrian Lewis,7,3,406,3,0 1 1,2,0
Adrian Lewis,7,4,272,3,1 0 0,1,0
Adrian Lewis,7,5,206,1,1,1,0
Adrian Lewis,8,1,501,3,0 1 1,2,0
Adrian Lewis,8,2,361,3,0 0 1,1,0
Adrian Lewis,8,3,261,2,1 1,2,0
Adrian Lewis,9,1,501,3,0 0 0,0,1
Adrian Lewis,9,2,444,3,0 1 0,1,1
Adrian Lewis,9,3,367,3,1 1 0,2,1
Adrian Lewis,9,4,247,3,0 0 1,1,1
Adrian Lewis,10,1,501,3,1 0 0,1,0
Adrian Lewis,10,2,401,3,0 1 1,2,0
Adrian Lewis,10,3,261,2,1 1,2,0
Adrian Lewis,11,1,501,3,0 0 1,1,0
Adrian Lewis,11,2,405,3,1 1 0,2,0
Adrian Lewis,11,3,266,3,0 1 0,1,0
Adrian Lewis,12,1,501,3,0 0 1,1,1
Adrian Lewis,12,2,404,3,1 1 0,2,1
Adrian Lewis,12,3,264,3,0 0 0,0,1
Adrian Lewis,12,4,206,2,0 1,1,1
Adrian Lewis,13,1,501,3,0 0 1,1,0
Adrian Lewis,13,2,404,3,0 0 0,0,0
Adrian Lewis,13,3,347,3,0 0 0,0,0
Adrian Lewis,13,4,306,3,0 0 1,1,0
Adrian Lewis,13,5,207,2,0 1,1,0
Adrian Lewis,14,1,501,3,0 0 1,1,1
Adrian Lewis,14,2,401,3,0 1 1,2,1
Adrian Lewis,14,3,267,3,1 0 1,2,1
Adrian Lewis,15,1,501,3,1 1 0,2,0
Adrian Lewis,15,2,361,3,0 1 1,2,0
Adrian Lewis,15,3,227,1,1,1,0
Adrian Lewis,16,1,501,3,1 1 0,2,1
Adrian Lewis,16,2,362,3,0 1 1,2,1
Adrian Lewis,16,3,222,2,0 1,1,1
Adrian Lewis,17,1,501,3,0 1 0,1,0
Adrian Lewis,17,2,425,3,0 1 0,1,0
Adrian Lewis,17,3,325,3,0 0 1,1,0
Adrian Lewis,17,4,225,1,1,1,0
Adrian Lewis,18,1,501,3,0 0 1,1,0
Adrian Lewis,18,2,419,3,0 1 1,2,0
Adrian Lewis,18,3,279,3,0 0 1,1,0
Adrian Lewis,18,4,183,1,0,0,0
Adrian Lewis,19,1,501,3,0 0 0,0,0
Adrian Lewis,19,2,441,3,0 0 1,1,0
Adrian Lewis,19,3,341,3,1 1 1,3,0
Adrian Lewis,20,1,501,3,1 1 1,3,0
Adrian Lewis,20,2,321,3,0 0 0,0,0
Adrian Lewis,20,3,263,3,0 0 0,0,0
Adrian Lewis,20,4,215,1,1,1,0
Adrian Lewis,21,1,501,3,1 0 1,2,0
Adrian Lewis,21,2,361,3,0 0 1,1,0
