TeamID,Round of 32,Sweet 16,Elite 8,Final Four,Title Game,Champion,TeamName
1222,0.966,0.782,0.462,0.314,0.2,0.134,Houston
1181,0.93,0.764,0.576,0.364,0.206,0.128,Duke
1112,0.95,0.754,0.576,0.316,0.204,0.102,Arizona
1235,0.96,0.71,0.452,0.288,0.174,0.092,Iowa St
1345,0.922,0.708,0.4,0.236,0.134,0.082,Purdue
1211,0.934,0.736,0.436,0.266,0.144,0.074,Gonzaga
1276,0.966,0.7,0.53,0.274,0.128,0.068,Michigan
1228,0.93,0.77,0.406,0.26,0.15,0.064,Illinois
1163,0.924,0.688,0.444,0.248,0.116,0.054,Connecticut
1438,0.868,0.602,0.296,0.164,0.08,0.04,Virginia
1196,0.97,0.702,0.412,0.18,0.076,0.034,Florida
1277,0.814,0.492,0.224,0.114,0.048,0.014,Michigan St
1304,0.872,0.446,0.21,0.064,0.032,0.014,Nebraska
1435,0.726,0.446,0.228,0.108,0.048,0.012,Vanderbilt
1385,0.85,0.538,0.184,0.066,0.032,0.012,St John's
1104,0.784,0.392,0.128,0.054,0.012,0.01,Alabama
1257,0.764,0.382,0.174,0.084,0.028,0.01,Louisville
1116,0.83,0.52,0.206,0.082,0.024,0.01,Arkansas
1403,0.592,0.348,0.116,0.046,0.014,0.006,Texas Tech
1234,0.642,0.226,0.102,0.028,0.014,0.006,Iowa
1274,0.674,0.218,0.07,0.03,0.014,0.006,Miami FL
1242,0.808,0.372,0.128,0.044,0.014,0.004,Kansas
1246,0.608,0.18,0.082,0.046,0.014,0.004,Kentucky
1397,0.758,0.332,0.12,0.054,0.022,0.004,Tennessee
1281,0.326,0.064,0.012,0.006,0.002,0.002,Missouri
1314,0.564,0.14,0.048,0.018,0.014,0.002,North Carolina
1103,0.408,0.214,0.054,0.01,0.002,0.002,Akron
1429,0.456,0.106,0.042,0.01,0.004,0.002,Utah St
1140,0.624,0.188,0.07,0.022,0.006,0.002,BYU
1437,0.544,0.134,0.054,0.008,0.004,0.002,Villanova
1219,0.458,0.204,0.052,0.008,0.004,0.002,High Point
1458,0.542,0.228,0.064,0.016,0.004,0.002,Wisconsin
1416,0.316,0.066,0.016,0.006,0.002,0.0,UCF
1400,0.132,0.018,0.002,0.0,0.0,0.0,Texas
1388,0.55,0.13,0.042,0.008,0.004,0.0,St Mary's CA
1395,0.45,0.084,0.04,0.016,0.002,0.0,TCU
1465,0.192,0.046,0.004,0.0,0.0,0.0,Cal Baptist
1398,0.04,0.012,0.0,0.0,0.0,0.0,Tennessee St
1460,0.132,0.032,0.004,0.0,0.0,0.0,Wright St
1401,0.45,0.08,0.024,0.006,0.002,0.0,Texas A&M
1407,0.128,0.026,0.004,0.0,0.0,0.0,Troy
1433,0.436,0.078,0.016,0.004,0.002,0.0,VCU
1420,0.024,0.0,0.0,0.0,0.0,0.0,UMBC
1417,0.684,0.234,0.11,0.034,0.004,0.0,UCLA
1387,0.48,0.128,0.072,0.022,0.002,0.0,St Louis
1301,0.244,0.05,0.006,0.0,0.0,0.0,NC State
1378,0.236,0.074,0.022,0.006,0.0,0.0,South Florida
1374,0.126,0.012,0.006,0.002,0.0,0.0,SMU
1155,0.358,0.072,0.018,0.006,0.0,0.0,Clemson
1202,0.076,0.012,0.002,0.0,0.0,0.0,Furman
1208,0.52,0.172,0.098,0.034,0.008,0.0,Georgia
1218,0.17,0.048,0.006,0.0,0.0,0.0,Hawaii
1220,0.216,0.046,0.002,0.0,0.0,0.0,Hofstra
1224,0.01,0.0,0.0,0.0,0.0,0.0,Howard
1225,0.034,0.008,0.0,0.0,0.0,0.0,Idaho
1244,0.066,0.008,0.002,0.0,0.0,0.0,Kennesaw
1250,0.02,0.0,0.0,0.0,0.0,0.0,Lehigh
1254,0.05,0.006,0.0,0.0,0.0,0.0,LIU Brooklyn
1270,0.274,0.082,0.026,0.004,0.0,0.0,McNeese St
1275,0.116,0.022,0.004,0.0,0.0,0.0,Miami OH
1295,0.186,0.052,0.008,0.0,0.0,0.0,N Dakota St
1320,0.15,0.044,0.004,0.0,0.0,0.0,Northern Iowa
1326,0.55,0.128,0.056,0.018,0.006,0.0,Ohio St
1335,0.07,0.012,0.002,0.0,0.0,0.0,Penn
1341,0.01,0.0,0.0,0.0,0.0,0.0,Prairie View
1365,0.392,0.098,0.036,0.006,0.0,0.0,Santa Clara
1373,0.07,0.024,0.008,0.0,0.0,0.0,Siena
1474,0.078,0.01,0.002,0.0,0.0,0.0,Queens NC
