Sport_1,Sport_2,choice,winner,loser,voter
Go,Rowing,1,Go,Rowing,voter_00
Baseball,Pickleball,1,Baseball,Pickleball,voter_00
Figure Skating,Poker,2,Poker,Figure Skating,voter_00
F1,Rowing,1,F1,Rowing,voter_00
Sailing,Water Polo,2,Water Polo,Sailing,voter_00
Rugby,UFC,2,UFC,Rugby,voter_00
Golf,Swimming,1,Golf,Swimming,voter_00
Tennis,Volley Ball,2,Volley Ball,Tennis,voter_00
Curling,Weight Lifting,1,Curling,Weight Lifting,voter_00
Go,Table Tennis,1,Go,Table Tennis,voter_00
Golf,Sailing,1,Golf,Sailing,voter_00
American Football,Hockey,1,American Football,Hockey,voter_00
F1,UFC,2,UFC,F1,voter_00
F1,Sailing,1,F1,Sailing,voter_00
Basketball,Cricket,1,Basketball,Cricket,voter_00
Basketball,Go,2,Go,Basketball,voter_00
Archery,Ultimate Frisbee,2,Ultimate Frisbee,Archery,voter_00
American Football,Archery,1,American Football,Archery,voter_00
Hockey,Ultimate Frisbee,1,Hockey,Ultimate Frisbee,voter_00
F1,Soccer,2,Soccer,F1,voter_00
Archery,F1,2,F1,Archery,voter_00
Boxing,Rugby,1,Boxing,Rugby,voter_00
Chess,Ultimate Frisbee,1,Chess,Ultimate Frisbee,voter_00
F1,Fencing,2,Fencing,F1,voter_00
Ultimate Frisbee,Volley Ball,2,Volley Ball,Ultimate Frisbee,voter_00
Archery,Cricket,2,Cricket,Archery,voter_00
Rowing,Weight Lifting,1,Rowing,Weight Lifting,voter_00
American Football,Badminton,1,American Football,Badminton,voter_00
Baseball,F1,2,F1,Baseball,voter_00
Curling,Tennis,2,Tennis,Curling,voter_00
Baseball,Volley Ball,2,Volley Ball,Baseball,voter_00
UFC,Ultimate Frisbee,1,UFC,Ultimate Frisbee,voter_00
Cricket,Table Tennis,2,Table Tennis,Cricket,voter_00
Go,Hockey,1,Go,Hockey,voter_00
Go,Pickleball,1,Go,Pickleball,voter_00
Boxing,Volley Ball,1,Boxing,Volley Ball,voter_00
Boxing,Soccer,2,Soccer,Boxing,voter_00
Poker,Skateboarding,1,Poker,Skateboarding,voter_00
Boxing,Go,2,Go,Boxing,voter_00
Chess,Table Tennis,1,Chess,Table Tennis,voter_00
Golf,Soccer,2,Soccer,Golf,voter_00
American Football,Volley Ball,1,American Football,Volley Ball,voter_00
Swimming,Tennis,2,Tennis,Swimming,voter_00
Badminton,Volley Ball,2,Volley Ball,Badminton,voter_00
Hockey,Tennis,1,Hockey,Tennis,voter_00
Badminton,Pickleball,1,Badminton,Pickleball,voter_00
Rock Climbing,Table Tennis,2,Table Tennis,Rock Climbing,voter_00
